Feature,RandomForest_Importance,F_Score,Mutual_Info,Variance,Target_Correlation
FLAIR_feature_20,0.011117490624408644,0.48854504154223244,0.04768230048485589,1.0050251256281406,0.04961175390565958
DWI_feature_1,0.0130517167887112,9.490573520847605,0.0130628227403784,1.0050251256281406,0.21386860830662902
DWI_feature_2,0.023469738996595536,11.339216880737817,0.0461961477487034,1.0050251256281406,0.23273742950098572
DWI_feature_3,0.014986688917310658,12.275160465438844,0.0,1.0050251256281406,0.24161261317911278
DWI_feature_4,0.0149496690092234,13.122500877139174,0.04088607048506576,1.0050251256281406,0.2493107724864455
DWI_feature_5,0.009743224343210321,5.214953092259931,0.010829271569327226,1.0050251256281406,0.16019441562833786
DWI_feature_6,0.010961610012369132,4.564624510449778,0.0,1.0050251256281406,0.15011383748029541
DWI_feature_7,0.010206614753849314,2.2589236921467366,0.011861661264255696,1.0050251256281406,0.1062074156774834
DWI_feature_8,0.009506344479228991,1.9201945411461374,0.0,1.0050251256281406,0.09800410851181501
DWI_feature_9,0.01057922346869259,2.8544653160690783,0.04267126291131862,1.0050251256281408,0.11921245715714048
DWI_feature_10,0.008669921943263197,0.20366647221235817,0.0,1.0050251256281408,0.03205560134564023
DWI_feature_11,0.006025546568554602,0.1252509677726812,0.0,1.0050251256281408,0.02514320464889262
DWI_feature_12,0.006811378108620786,0.44371895693510377,0.0,1.0050251256281408,0.04728629780110976
DWI_feature_13,0.005834792898592699,1.1839229719357467,0.0,1.0050251256281406,0.07709648585296212
DWI_feature_14,0.0040473682364407645,0.45695305713584283,0.0,1.0050251256281406,0.047984683429833475
DWI_feature_15,0.00818386406656326,0.05527483895179981,0.03411099678855267,1.0050251256281406,0.016705925340088048
DWI_feature_16,0.010004459460897208,0.05251873317014206,0.035192658182713776,1.0050251256281406,0.016284219056207597
DWI_feature_17,0.006910237856784509,0.2784484763157999,0.0,1.0050251256281406,0.03747439817124015
DWI_feature_18,0.007543212844328427,0.14507562069815247,0.007449963377519131,1.0050251256281406,0.02705861584166351
DWI_feature_19,0.013336690015950767,0.40604305808443303,0.06947873117834558,1.0050251256281408,0.04523854174627698
DWI_feature_20,0.01035727600303799,0.013829522922622236,0.0,1.0050251256281406,0.008357104596285315
ADC_feature_1,0.010091779989819059,0.30161658546762404,0.01577285576291132,1.0050251256281406,0.038999988792073406
ADC_feature_2,0.010594014079682874,0.2002649833493515,0.0,1.0050251256281406,0.03178706236874082
ADC_feature_3,0.005626437497308738,0.03055779883326165,0.0,1.005025125628141,0.012422097349116291
ADC_feature_4,0.00929169935179326,0.18665269541490762,0.029719733231847734,1.0050251256281406,0.030688801747156432
ADC_feature_5,0.007940596595954665,0.21754224252751758,0.0,1.0050251256281404,0.03312842256560213
ADC_feature_6,0.006204021607444786,0.2010872451643774,0.0,1.0050251256281406,0.03185218620961527
ADC_feature_7,0.007850980296824964,0.6434940683960165,0.06613237469143374,1.005025125628141,0.056916095729612655
ADC_feature_8,0.015033791706719812,0.2154187040337098,0.04531861555867156,1.0050251256281406,0.03296651108800902
ADC_feature_9,0.01878627158375057,0.4438830297093804,0.03703665469935147,1.0050251256281406,0.047295019905448994
ADC_feature_10,0.00783845644518369,0.4548017948010651,0.0,1.0050251256281406,0.047871857510781296
ADC_feature_11,0.005957019204956753,0.025347891613041056,0.0,1.0050251256281406,0.011313852910357344
ADC_feature_12,0.007316047695358111,0.11571304897591242,0.0,1.0050251256281406,0.024167498907970947
ADC_feature_13,0.008568102423921333,0.002688560772444273,0.0,1.0050251256281408,0.0036848887885827923
ADC_feature_14,0.008369866580738511,0.010846236448917643,0.06178792892504359,1.0050251256281404,0.007401079069489096
ADC_feature_15,0.007801005292032163,0.035396917962846476,0.04254866328871909,1.0050251256281406,0.013369381403649693
ADC_feature_16,0.01002485127032421,0.23690313369755456,0.029144553509609317,1.0050251256281406,0.03456950416899899
ADC_feature_17,0.008828464666130987,0.14833545352399344,0.0,1.0050251256281406,0.0273607039972451
ADC_feature_18,0.005680494815768394,0.01078023056411913,0.020217568729683277,1.0050251256281408,0.007378525919636568
ADC_feature_19,0.007535353614397576,0.6636157701487726,0.013918598908654767,1.0050251256281406,0.05779618615762415
ADC_feature_20,0.014678136475634478,0.1880494587794481,0.0,1.0050251256281406,0.03080330472705662
cross_modality_feature_1,0.010817095010774738,2.344416697484593,0.018354121719177607,1.0050251256281406,0.10817546756971706
cross_modality_feature_2,0.016053898038922442,5.510089377788404,0.0,1.005025125628141,0.16454562864970126
cross_modality_feature_3,0.008475268297294303,0.9776211368333579,0.0,1.0050251256281406,0.07009437604757279
cross_modality_feature_4,0.006549739132680158,0.396454504715705,0.0,1.0050251256281406,0.0447022852068592
cross_modality_feature_5,0.012346901873301473,4.438768462964306,0.0,1.0050251256281406,0.14807590737236423
cross_modality_feature_6,0.010731113634045678,2.3938444478574907,0.0,1.0050251256281406,0.10929637919038898
cross_modality_feature_7,0.014960447200560549,5.324885382105728,0.0,1.0050251256281406,0.16183030921278602
cross_modality_feature_8,0.0037379709406208787,1.1692202591530334,0.0035879691625835264,1.0050251256281406,0.07661910142303589
cross_modality_feature_9,0.01028384336065298,0.3160420299275109,0.042771967762023744,1.0050251256281406,0.03992027259271931
cross_modality_feature_10,0.009962026603270861,0.4867949162543114,0.041299676164731736,1.0050251256281406,0.04952302988806082
